Title,Location,Price,Area,Rooms,Interior
Apartment Javastraat 56 1,            1094 HK Amsterdam (Indische Buurt West)        ,"                €1,700 per month            ",58 m²,3 rooms,None
Apartment Prinsengracht,            1015 DT Amsterdam (Grachtengordel-West)        ,"                €2,250 per month            ",70 m²,2 rooms,Furnished
Apartment Henkenshage 19,            1083 BX Amsterdam (Buitenveldert-Oost)        ,"                €1,950 per month            ",83 m²,3 rooms,Upholstered
Apartment John Blankensteinstraat 59 Bg,            1095 MB Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,450 per month            ",65 m²,2 rooms,Upholstered or furnished
Apartment Bilderdijkstraat 33 2,            1052 NA Amsterdam (Da Costabuurt)        ,"                €1,750 per month            ",55 m²,3 rooms,Furnished
Apartment Hudsonstraat,            1057 SE Amsterdam (Hoofdweg e.o.)        ,"                €1,725 per month            ",50 m²,3 rooms,Furnished
Apartment Parnassusweg 14 hs,            1076 AN Amsterdam (Stadionbuurt)        ,"                €3,250 per month            ",105 m²,4 rooms,Furnished
Apartment Wethouder Frankeweg 3 1,            1098 KV Amsterdam (Middenmeer)        ,"                €1,950 per month            ",70 m²,3 rooms,Furnished
Apartment Hemonystraat 1 2,            1074 BK Amsterdam (Oude Pijp)        ,"                €3,150 per month            ",110 m²,4 rooms,Upholstered
Apartment Tuigerstraat,            1033 PH Amsterdam (Tuindorp Oostzaan)        ,"                €1,495 per month            ",50 m²,2 rooms,Furnished
Apartment Valeriusstraat,            1071 MN Amsterdam (Museumkwartier)        ,"                €2,450 per month            ",72 m²,3 rooms,Furnished
Apartment Prinsengracht,            1017 KJ Amsterdam (De Weteringschans)        ,"                €2,150 per month            ",87 m²,2 rooms,Furnished
Apartment Leidsekade 59 A,            1016 CX Amsterdam (Jordaan)        ,"                €1,850 per month            ",64 m²,2 rooms,Upholstered
Apartment Wanningstraat 12 A,            1071 LB Amsterdam (Museumkwartier)        ,"                €2,950 per month            ",120 m²,3 rooms,Furnished
Apartment Watertorenplein 2 B,            1051 PA Amsterdam (Centrale Markt)        ,"                €3,000 per month            ",110 m²,3 rooms,Upholstered or furnished
Apartment Pretoriusstraat 91 1,            1092 GD Amsterdam (Transvaalbuurt)        ,"                €1,650 per month            ",67 m²,3 rooms,Furnished
Apartment Emmy Andriessestraat,            1087 NE Amsterdam (IJburg Zuid)        ,"                €1,784 per month            ",114 m²,3 rooms,None
Apartment Merlijnstraat,            1055 DC Amsterdam (Erasmuspark)        ,"                €2,650 per month            ",90 m²,5 rooms,Upholstered
Apartment Ceramplein,            1095 DE Amsterdam (Indische Buurt Oost)        ,"                €2,400 per month            ",80 m²,4 rooms,Upholstered
Apartment Frederiksplein 40 B,            1017 XN Amsterdam (De Weteringschans)        ,"                €3,400 per month            ",125 m²,3 rooms,Upholstered
Apartment Nieuwezijds Voorburgwal,            1012 RT Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €5,000 per month            ",180 m²,4 rooms,Furnished
Apartment Solitudolaan 216,            1096 DS Amsterdam (Omval/Overamstel)        ,"                €3,950 per month            ",126 m²,4 rooms,Upholstered
Apartment Rustenburgerstraat 303 1,            1073 GE Amsterdam (Nieuwe Pijp)        ,"                €2,100 per month            ",50 m²,3 rooms,Furnished
Apartment Lijnbaansgracht 320 hs,            1017 WZ Amsterdam (De Weteringschans)        ,"                €2,000 per month            ",75 m²,2 rooms,Upholstered or furnished
Apartment Egelantiersgracht 336,            1015 RR Amsterdam (Jordaan)        ,"                €1,975 per month            ",57 m²,2 rooms,Furnished
Apartment Noorderdwarsstraat 10,            1017 TX Amsterdam (De Weteringschans)        ,"                €2,750 per month            ",78 m²,3 rooms,Furnished
Apartment Kleiburg,"            1104 EA Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,650 per month            ",100 m²,4 rooms,None
Apartment Planciusstraat 19,            1013 MD Amsterdam (Haarlemmerbuurt)        ,"                €1,450 per month            ",30 m²,1 room,Furnished
Apartment Luzacstraat,            1051 JB Amsterdam (Staatsliedenbuurt)        ,"                €1,850 per month            ",55 m²,3 rooms,Furnished
Apartment Venetiëhof,            1019 NA Amsterdam (Oostelijk Havengebied)        ,"                €2,150 per month            ",100 m²,4 rooms,Furnished
Apartment Arènpalmstraat,"            1104 DB Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,250 per month            ",35 m²,2 rooms,Furnished
Apartment Boris Pasternakstraat 367,"            1102 TD Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,500 per month            ",69 m²,3 rooms,Upholstered
Apartment Haarlemmer Houttuinen,            1013 GM Amsterdam (Haarlemmerbuurt)        ,"                €1,850 per month            ",67 m²,3 rooms,Upholstered
Apartment Sterkenburg,            1083 VH Amsterdam (Buitenveldert-Oost)        ,"                €1,800 per month            ",65 m²,3 rooms,Furnished
Apartment Eerste Laurierdwarsstraat,            1016 PV Amsterdam (Jordaan)        ,"                €1,800 per month            ",40 m²,2 rooms,Furnished
Apartment Singel 25,            1012 VC Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €3,250 per month            ",120 m²,3 rooms,Furnished
Apartment Gietersstraat,            1015 HB Amsterdam (Jordaan)        ,"                €3,500 per month            ",100 m²,2 rooms,Furnished
Apartment Jozef Israëlskade,            1072 RV Amsterdam (Nieuwe Pijp)        ,"                €1,850 per month            ",60 m²,2 rooms,Furnished
Apartment Tweede Van der Helststraat,            1072 PD Amsterdam (Nieuwe Pijp)        ,"                €3,000 per month            ",100 m²,3 rooms,Furnished
Apartment Elandsgracht,            1016 TX Amsterdam (Jordaan)        ,"                €2,300 per month            ",65 m²,2 rooms,Furnished
Apartment Prinsengracht 1113 1,            1017 JJ Amsterdam (Grachtengordel-Zuid)        ,"                €1,950 per month            ",67 m²,2 rooms,None
Apartment Prinsengracht 625 2,            1016 HV Amsterdam (Grachtengordel-West)        ,"                €3,250 per month            ",120 m²,4 rooms,Upholstered
Apartment Gerard Doustraat,            1073 XB Amsterdam (Oude Pijp)        ,"                €1,975 per month            ",51 m²,3 rooms,Upholstered
Apartment Joris van Andringastraat,            1055 VZ Amsterdam (Landlust)        ,"                €1,850 per month            ",84 m²,3 rooms,Furnished
Apartment Kolfschotenstraat,"            1104 PC Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,600 per month            ",75 m²,3 rooms,Furnished
Apartment Klaroenstraat,"            1104 HW Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,700 per month            ",78 m²,3 rooms,Furnished
Apartment Ten Katestraat,            1053 CE Amsterdam (Kinkerbuurt)        ,"                €1,850 per month            ",50 m²,2 rooms,Upholstered
Apartment Willemsparkweg,            1071 GN Amsterdam (Museumkwartier)        ,"                €5,750 per month            ",185 m²,6 rooms,Upholstered
House Nadezjda Mandelstamstraat,"            1102 JH Amsterdam (Bijlmer Centrum (D,F,H))        ","                €2,350 per month            ",148 m²,4 rooms,Furnished
Apartment Bijlmerdreef,"            1103 TW Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,750 per month            ",59 m²,3 rooms,None
Apartment Brouwersgracht,            1015 GC Amsterdam (Grachtengordel-West)        ,"                €1,350 per month            ",48 m²,2 rooms,Furnished
Apartment Frederiksplein 40 B,            1017 XN Amsterdam (De Weteringschans)        ,"                €3,400 per month            ",125 m²,3 rooms,Upholstered
Apartment Nieuwezijds Voorburgwal,            1012 RT Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €5,000 per month            ",180 m²,4 rooms,Furnished
Apartment Lijnbaansgracht,            1017 RL Amsterdam (De Weteringschans)        ,"                €2,100 per month            ",60 m²,3 rooms,Upholstered
Apartment Pieter Calandlaan 917,            1069 SC Amsterdam (Osdorp-Midden)        ,"                €1,800 per month            ",87 m²,3 rooms,Furnished
Apartment Catharina Boudewijnshof 51,            1064 PE Amsterdam (Slotermeer-Zuidwest)        ,"                €2,500 per month            ",125 m²,4 rooms,Upholstered or furnished
Apartment Admiraal De Ruijterweg,            1055 MJ Amsterdam (Landlust)        ,"                €3,000 per month            ",140 m²,4 rooms,Upholstered or furnished
Apartment Gerrit van der Veenstraat,            1077 EH Amsterdam (Apollobuurt)        ,"                €4,600 per month            ",127 m²,5 rooms,Upholstered
Apartment Eerste Atjehstraat 25 1,            1094 JZ Amsterdam (Indische Buurt West)        ,"                €1,850 per month            ",52 m²,3 rooms,Upholstered
House Geerdinkhof 32,"            1103 PP Amsterdam (Bijlmer Oost (E,G,K))        ","                €2,500 per month            ",150 m²,5 rooms,Furnished
Apartment George Gershwinlaan 679,            1082 MT Amsterdam (Zuidas)        ,"                €1,688 per month            ",75 m²,3 rooms,Upholstered
Apartment Blasiusstraat,            1091 CS Amsterdam (Weesperzijde)        ,"                €2,600 per month            ",137 m²,5 rooms,Upholstered
Apartment De Lairessestraat 148 H,            1075 HL Amsterdam (Willemspark)        ,"                €5,900 per month            ",270 m²,5 rooms,None
Apartment Amstelveenseweg 605 C,            1081 JD Amsterdam (Zuidas)        ,"                €2,100 per month            ",120 m²,4 rooms,Upholstered or furnished
Apartment Kerkstraat 132 A,            1017 GP Amsterdam (Grachtengordel-Zuid)        ,"                €4,100 per month            ",129 m²,4 rooms,Upholstered
Apartment Ruyschstraat 93 H,            1091 BX Amsterdam (Oosterparkbuurt)        ,"                €1,950 per month            ",62 m²,3 rooms,Furnished
Apartment Marco Polostraat,            1057 WR Amsterdam (Hoofdweg e.o.)        ,"                €1,850 per month            ",55 m²,2 rooms,Furnished
Apartment Frans van Mierisstraat 24 2,            1071 RT Amsterdam (Museumkwartier)        ,"                €2,100 per month            ",60 m²,2 rooms,Furnished
Apartment Cornelis Anthoniszstraat 23 1,            1071 VP Amsterdam (Museumkwartier)        ,"                €2,000 per month            ",68 m²,2 rooms,Upholstered or furnished
Apartment Copernicusstraat 36 1,            1098 JH Amsterdam (Middenmeer)        ,"                €2,450 per month            ",100 m²,4 rooms,Upholstered
Apartment Keizersgracht 391 G,            1016 EJ Amsterdam (Grachtengordel-West)        ,"                €2,100 per month            ",89 m²,3 rooms,Upholstered
Apartment Stadionweg 275 3,            1076 NZ Amsterdam (Stadionbuurt)        ,"                €2,250 per month            ",110 m²,4 rooms,Upholstered or furnished
Apartment Fokke Simonszstraat 37 H,            1017 TE Amsterdam (De Weteringschans)        ,"                €2,250 per month            ",78 m²,3 rooms,Upholstered
Apartment Kerkstraat,            1017 GG Amsterdam (Grachtengordel-Zuid)        ,"                €2,000 per month            ",70 m²,3 rooms,Furnished
Apartment Waalstraat,            1079 DR Amsterdam (Scheldebuurt)        ,"                €2,150 per month            ",75 m²,3 rooms,Furnished
Apartment Wolbrantskerkweg,            1069 DA Amsterdam (Osdorp-Midden)        ,"                €2,600 per month            ",92 m²,5 rooms,Upholstered
Apartment Hortusplantsoen,            1018 TZ Amsterdam (Weesperbuurt/Plantage)        ,"                €1,750 per month            ",50 m²,2 rooms,Upholstered
House Achtergracht 32 hs,            1017 WP Amsterdam (De Weteringschans)        ,"                €2,250 per month            ",80 m²,3 rooms,Furnished
Apartment Eerste Nassaustraat 8 3,            1052 BG Amsterdam (Staatsliedenbuurt)        ,"                €2,650 per month            ",100 m²,4 rooms,Furnished
Apartment Bellamystraat 29 hs,            1053 BG Amsterdam (Kinkerbuurt)        ,"                €3,500 per month            ",133 m²,5 rooms,Upholstered or furnished
Apartment Uithoornstraat 30 C,            1078 SZ Amsterdam (IJselbuurt)        ,"                €2,200 per month            ",95 m²,3 rooms,Upholstered
Apartment Willemsparkweg,            1071 HT Amsterdam (Museumkwartier)        ,"                €3,950 per month            ",120 m²,4 rooms,Furnished
Apartment Bijlmerdreef 222,"            1102 AB Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,650 per month            ",90 m²,3 rooms,None
Apartment Frederiksplein 40 B,            1017 XN Amsterdam (De Weteringschans)        ,"                €3,400 per month            ",125 m²,3 rooms,Upholstered
Apartment Nieuwezijds Voorburgwal,            1012 RT Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €5,000 per month            ",180 m²,4 rooms,Furnished
Apartment Rustenburgerstraat,            1072 HE Amsterdam (Nieuwe Pijp)        ,"                €2,995 per month            ",135 m²,3 rooms,Furnished
